Hex	Opcode	Length	Cycles	After CB	Length	Cycles	After DDFDCB	Length	Cycles	After ED	Length	Cycles			Key	
48	"LD C, B"	1	4	"BIT 1, B"	1	8	"BIT 1, (HL)"	1	12	"IN C, (C)"	1	12				
49	"LD C, C"	1	4	"BIT 1, C"	1	8	"BIT 1, (HL)"	1	12	"OUT (C), C"	1	12				
4A	"LD C, D"	1	4	"BIT 1, D"	1	8	"BIT 1, (HL)"	1	12	"ADC HL, BC"	1	15				
4B	"LD C, E"	1	4	"BIT 1, E"	1	8	"BIT 1, (HL)"	1	12	"LD BC, (^)"	3	20				
4C	"LD C, H"	1	4	"BIT 1, H"	1	8	"BIT 1, (HL)"	1	12	NEG	1	8				
4D	"LD C, L"	1	4	"BIT 1, L"	1	8	"BIT 1, (HL)"	1	12	RETN	1	14				
4E	"LD C, (HL)"	1	7	"BIT 1, (HL)"	1	12	"BIT 1, (HL)"	1	12	IM 0	1	8				
4F	"LD C, A"	1	4	"BIT 1, A"	1	8	"BIT 1, (HL)"	1	12	"LD R, A"	1	9				
50	"LD D, B"	1	4	"BIT 2, B"	1	8	"BIT 2, (HL)"	1	12	"IN D, (C)"	1	12				
51	"LD D, C"	1	4	"BIT 2, C"	1	8	"BIT 2, (HL)"	1	12	"OUT (C), D"	1	12				
52	"LD D, D"	1	4	"BIT 2, D"	1	8	"BIT 2, (HL)"	1	12	"SBC HL, DE"	1	15				
53	"LD D, E"	1	4	"BIT 2, E"	1	8	"BIT 2, (HL)"	1	12	"LD (^), DE"	3	20				
54	"LD D, H"	1	4	"BIT 2, H"	1	8	"BIT 2, (HL)"	1	12	NEG	1	8				
55	"LD D, L"	1	4	"BIT 2, L"	1	8	"BIT 2, (HL)"	1	12	RETN	1	14				
56	"LD D, (HL)"	1	7	"BIT 2, (HL)"	1	12	"BIT 2, (HL)"	1	12	IM 1	1	8				
57	"LD D, A"	1	4	"BIT 2, A"	1	8	"BIT 2, (HL)"	1	12	"LD A, I"	1	9				
58	"LD E, B"	1	4	"BIT 3, B"	1	8	"BIT 3, (HL)"	1	12	"IN E, (C)"	1	12				
59	"LD E, C"	1	4	"BIT 3, C"	1	8	"BIT 3, (HL)"	1	12	"OUT (C), E"	1	12				
5A	"LD E, D"	1	4	"BIT 3, D"	1	8	"BIT 3, (HL)"	1	12	"ADC HL, DE"	1	15				
5B	"LD E, E"	1	4	"BIT 3, E"	1	8	"BIT 3, (HL)"	1	12	"LD DE, (^)"	3	20				
5C	"LD E, H"	1	4	"BIT 3, H"	1	8	"BIT 3, (HL)"	1	12	NEG	1	8				
5D	"LD E, L"	1	4	"BIT 3, L"	1	8	"BIT 3, (HL)"	1	12	RETN	1	14				
5E	"LD E, (HL)"	1	7	"BIT 3, (HL)"	1	12	"BIT 3, (HL)"	1	12	IM 2	1	8				
5F	"LD E, A"	1	4	"BIT 3, A"	1	8	"BIT 3, (HL)"	1	12	"LD A, R"	1	9				
60	"LD H, B"	1	4	"BIT 4, B"	1	8	"BIT 4, (HL)"	1	12	"IN H, (C)"	1	12				
61	"LD H, C"	1	4	"BIT 4, C"	1	8	"BIT 4, (HL)"	1	12	"OUT (C), H"	1	12				
62	"LD H, D"	1	4	"BIT 4, D"	1	8	"BIT 4, (HL)"	1	12	"SBC HL, HL"	1	15				
63	"LD H, E"	1	4	"BIT 4, E"	1	8	"BIT 4, (HL)"	1	12	"LD (^), HL"	3	20				
64	"LD H, H"	1	4	"BIT 4, H"	1	8	"BIT 4, (HL)"	1	12	NEG	1	8				
65	"LD H, L"	1	4	"BIT 4, L"	1	8	"BIT 4, (HL)"	1	12	RETN	1	14				
66	"LD H, (HL)"	1	7	"BIT 4, (HL)"	1	12	"BIT 4, (HL)"	1	12	IM 0	1	8				
67	"LD H, A"	1	4	"BIT 4, A"	1	8	"BIT 4, (HL)"	1	12	RRD	1	18				
68	"LD L, B"	1	4	"BIT 5, B"	1	8	"BIT 5, (HL)"	1	12	"IN L, (C)"	1	12				
69	"LD L, C"	1	4	"BIT 5, C"	1	8	"BIT 5, (HL)"	1	12	"OUT (C), L"	1	12				
6A	"LD L, D"	1	4	"BIT 5, D"	1	8	"BIT 5, (HL)"	1	12	"ADC HL, HL"	1	15				
6B	"LD L, E"	1	4	"BIT 5, E"	1	8	"BIT 5, (HL)"	1	12	"LD HL, (^)"	3	20				
6C	"LD L, H"	1	4	"BIT 5, H"	1	8	"BIT 5, (HL)"	1	12	NEG	1	8				
6D	"LD L, L"	1	4	"BIT 5, L"	1	8	"BIT 5, (HL)"	1	12	RETN	1	14				
6E	"LD L, (HL)"	1	7	"BIT 5, (HL)"	1	12	"BIT 5, (HL)"	1	12	IM 0	1	8				
6F	"LD L, A"	1	4	"BIT 5, A"	1	8	"BIT 5, (HL)"	1	12	RLD	1	18				
70	"LD (HL), B"	1	7	"BIT 6, B"	1	8	"BIT 6, (HL)"	1	12	"IN F, (C)"	1	12				
71	"LD (HL), C"	1	7	"BIT 6, C"	1	8	"BIT 6, (HL)"	1	12	"OUT (C), 0"	1	12				
72	"LD (HL), D"	1	7	"BIT 6, D"	1	8	"BIT 6, (HL)"	1	12	"SBC HL, SP"	1	15				
73	"LD (HL), E"	1	7	"BIT 6, E"	1	8	"BIT 6, (HL)"	1	12	"LD (^), SP"	3	20				
74	"LD (HL), H"	1	7	"BIT 6, H"	1	8	"BIT 6, (HL)"	1	12	NEG	1	8				
75	"LD (HL), L"	1	7	"BIT 6, L"	1	8	"BIT 6, (HL)"	1	12	RETN	1	14				
76	HALT	1	4	"BIT 6, (HL)"	1	12	"BIT 6, (HL)"	1	12	IM 1	1	8				
77	"LD (HL), A"	1	7	"BIT 6, A"	1	8	"BIT 6, (HL)"	1	12							
78	"LD A, B"	1	4	"BIT 7, B"	1	8	"BIT 7, (HL)"	1	12	"IN A, (C)"	1	12				
79	"LD A, C"	1	4	"BIT 7, C"	1	8	"BIT 7, (HL)"	1	12	"OUT (C), A"	1	12				
7A	"LD A, D"	1	4	"BIT 7, D"	1	8	"BIT 7, (HL)"	1	12	"ADC HL, SP"	1	15				
7B	"LD A, E"	1	4	"BIT 7, E"	1	8	"BIT 7, (HL)"	1	12	"LD SP, (^)"	3	20				
7C	"LD A, H"	1	4	"BIT 7, H"	1	8	"BIT 7, (HL)"	1	12	NEG	1	8				
7D	"LD A, L"	1	4	"BIT 7, L"	1	8	"BIT 7, (HL)"	1	12	RETN	1	14				
7E	"LD A, (HL)"	1	7	"BIT 7, (HL)"	1	12	"BIT 7, (HL)"	1	12	IM 2	1	8				
7F	"LD A, A"	1	4	"BIT 7, A"	1	8	"BIT 7, (HL)"	1	12							
80	"ADD A, B"	1	4	"RES 0, B"	1	8	"LD B, RES 0, (HL)"	1	0							
81	"ADD A, C"	1	4	"RES 0, C"	1	8	"LD C, RES 0, (HL)"	1	0							
82	"ADD A, D"	1	4	"RES 0, D"	1	8	"LD D, RES 0, (HL)"	1	0							
83	"ADD A, E"	1	4	"RES 0, E"	1	8	"LD E, RES 0, (HL)"	1	0							
84	"ADD A, H"	1	4	"RES 0, H"	1	8	"LD H, RES 0, (HL)"	1	0							
85	"ADD A, L"	1	4	"RES 0, L"	1	8	"LD L, RES 0, (HL)"	1	0							
86	"ADD A, (HL)"	1	7	"RES 0, (HL)"	1	15	"RES 0, (HL)"	1	15							
87	"ADD A, A"	1	4	"RES 0, A"	1	8	"LD L, RES 0, (HL)"	1	0							
88	"ADC A, B"	1	4	"RES 1, B"	1	8	"LD B, RES 1, (HL)"	1	0							
89	"ADC A, C"	1	4	"RES 1, C"	1	8	"LD C, RES 1, (HL)"	1	0							
